movie_name,movie_code,universe_code
Iron Man,1,1000
The Incredible Hulk,2,1000
Iron Man 2,3,1000
Thor,4,1000
Captain America: The First Avenger,5,1000
The Avengers,6,1000
Iron Man 3,7,1000
Thor: The Dark World,8,1000
Guardians of the Galaxy,9,1000
Avengers: Age of Ultron,10,1000
Ant-Man,11,1000
Captain America: Civil War,12,1000
Doctor Strange,13,1000
Guardians of the Galaxy Vol. 2,14,1000
Spider-Man: Homecoming,15,1000
Thor: Ragnarok,16,1000
Black Panther,17,1000
Avengers: Infinity War,18,1000
Ant-Man and the Wasp,19,1000
Captain Marvel,20,1000
Avengers: Endgame,21,1000
Spider-Man: Far From Home,22,1000
Man of Steel,101,2000
Batman v Superman: Dawn of Justice,102,2000
Suicide Squad,103,2000
Wonder Woman,104,2000
Justice League,105,2000
Aquaman,106,2000
Shazam!,107,2000
Birds of Prey,108,2000
Wonder Woman 1984,109,2000